date,UP
2024-01-25T02:21:35,True
2024-01-25T02:21:35,True
2024-01-25T02:31:35,True
2024-04-07T11:02:53,False
2024-04-07T11:07:53,True
2024-04-07T11:12:53,True
2024-04-07T11:17:53,True
2024-04-07T13:55:20,True
2024-04-07T13:55:20,True
2024-04-07T13:55:20,True
2024-04-07T13:55:20,True
2024-04-07T16:17:40,True
2024-04-07T16:17:40,True
2024-04-07T16:27:40,True
2024-04-07T16:58:45,True
2024-04-07T16:58:45,True
2024-04-07T17:14:31,True
2024-04-07T17:19:31,True
2024-04-07T17:24:31,True
2024-04-07T19:52:45,True
2024-04-07T19:57:45,True
2024-04-07T20:02:45,True
2024-04-07T20:07:45,True
2024-04-07T20:12:45,True
2024-04-07T20:17:45,True
2024-04-07T20:22:45,True
2024-04-07T20:27:45,True
2024-04-07T20:32:45,True
2024-04-07T20:37:45,True
2024-04-07T20:42:45,True
